新しい	あたらしい	adj-い.	new
熱い	あつい	adj-い.	hot (thing)
暑い	あつい	adj-い.	hot (weather)
忙しい	いそがしい	adj-い.	busy (people/days)
大きい	おおきい	adj-い.	large
面白い	おもしろい	adj-い.	interesting; funny
かっこいい	かっこいい	adj-い.	good-looking
怖い	こわい	adj-い.	frightening
寒い	さむい	adj-い.	cold (weather)
楽しい	たのしい	adj-い.	fun
小さい	ちいさい	adj-い.	small
つまらない	つまらない	adj-い.	boring
古い	ふるい	adj-い.	old (thing)
難しい	むずかしい	adj-い.	difficult
やさしい	やさしい	adj-い.	easy (problem); kind (person)
安い	やすい	adj-い.	inexpensive; cheap (thing)
嫌い	きらい（な）	adj-な.	disgusted with; to dislike
きれい（な）	きれい（な）	adj-な.	beautiful; clean
元気	げんき（な）	adj-な.	healthy; energetic
静か	しずか（な）	adj-な.	quiet
好き	すき（な）	adj-な.	fond of; to like
大嫌い	だいきらい（な）	adj-な.	to hate
大好き	だいすき（な）	adj-な.	very fond of; to love
にぎやか（な）	にぎやか（な）	adj-な.	lively
暇	ひま（な）	adj-な.	not busy; free (time)
